hidden_layers,neurons,activation,optimizer,avg_R2,avg_MAE,avg_MSE,avg_RMSE
2,128,tanh,sgd,0.7231887827565997,0.0854608105820817,0.012120441461393797,0.10985157497499727
2,128,tanh,adagrad,0.7237112160279497,0.08541969345739996,0.0120925156520741,0.10977846240821672
2,256,relu,adam,0.8908250963376506,0.05153915249563297,0.004715972066992242,0.06842197338993745
2,256,relu,sgd,0.7522230549881863,0.08125730245463547,0.010782992542514566,0.10373718437181659
2,256,relu,adagrad,0.5309748237383468,0.11135028054315108,0.020223673585731336,0.14109452651528148
2,256,leaky_relu,adam,0.8851303495587445,0.05299647278463384,0.005003451388920448,0.07065146323045432
2,256,leaky_relu,sgd,0.7504197908333639,0.08049130788140411,0.010885535704493635,0.10423374454622603
2,256,leaky_relu,adagrad,0.5925776326105995,0.10450814195699143,0.017597943111938994,0.13189641577485423
2,256,sigmoid,adam,0.7121381418030923,0.08870406421954118,0.012578981087009564,0.11203689370941976
2,256,sigmoid,sgd,-0.01958643578652648,0.17124710833636259,0.0448405523222854,0.21138016812349142
2,256,sigmoid,adagrad,-0.004799931871252961,0.16928950158404485,0.044024018195388995,0.2096842948141525
2,256,tanh,adam,0.76093741290955,0.07980348763362102,0.010437812069019895,0.10189285073625318
2,256,tanh,sgd,0.7246591203667843,0.08513929152391052,0.012060098483485415,0.10956887440402865
2,256,tanh,adagrad,0.7192060777447727,0.08593991708139381,0.01228812341625771,0.11069169827935363
3,32,relu,adam,0.8055632139440245,0.07215416583757542,0.008443306809178338,0.09173507509852467
3,32,relu,sgd,0.13703805072609052,0.15748900071306063,0.03774949439068985,0.19387570001336213
3,32,relu,adagrad,-0.03210747936445788,0.15735820171496903,0.04432308947750932,0.20835233686225663
3,32,leaky_relu,adam,0.7858270320649912,0.07674594870374243,0.009286965793945853,0.09623222368507187
3,32,leaky_relu,sgd,0.48321892846541215,0.11931812311665746,0.0224172082064322,0.14930072593385685
3,32,leaky_relu,adagrad,-0.25071118305104656,0.182051024320019,0.053765849428344545,0.2292205767734755
3,32,sigmoid,adam,0.5025164890328802,0.11627240899447429,0.021276510250648417,0.14364925227634706
